service_id,date,exception_type
DAVID-Weekday-0-BUS-26-02-1111100-,20260505,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260506,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260507,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260508,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260511,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260512,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260513,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260514,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260515,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260518,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260519,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260520,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260521,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260522,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260526,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260527,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260528,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260529,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260427,1
DAVID-Weekday-0-BUS-26-02-1111100-,20260428,1
GoldLine-Saturday-0-RAIL-26-01-0000010-,20260418,1
GoldLine-Saturday-0-RAIL-26-01-0000010-,20260502,1
GoldLine-Saturday-0-RAIL-26-01-0000010-,20260509,1
GoldLine-Saturday-0-RAIL-26-01-0000010-,20260516,1
GoldLine-Saturday-0-RAIL-26-01-0000010-,20260523,1
GoldLine-Saturday-0-RAIL-26-01-0000010-,20260525,1
GoldLine-Saturday-0-RAIL-26-01-0000010-,20260530,1
GOLDLINE-Saturday-23-BUS-BRIDGE-0000010-,20260425,1
GOLDLINE-Saturday-23-BUS-BRIDGE-0000011-,20260425,1
GoldLine-Sunday-0-RAIL-26-01-0000001-,20260419,1
GoldLine-Sunday-0-RAIL-26-01-0000001-,20260503,1
GoldLine-Sunday-0-RAIL-26-01-0000001-,20260510,1
GoldLine-Sunday-0-RAIL-26-01-0000001-,20260517,1
GoldLine-Sunday-0-RAIL-26-01-0000001-,20260524,1
GoldLine-Sunday-0-RAIL-26-01-0000001-,20260531,1
GOLDLINE-Sunday-23-BUS-BRIDGE-0000001-,20260426,1
GOLDLINE-Sunday-23-BUS-BRIDGE-0000011-,20260426,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260417,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260420,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260421,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260422,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260423,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260424,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260429,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260430,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260501,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260504,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260505,1
GoldLine-Weekday-0-RAIL-26-01-1111100-,20260506,1
