route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307167,"North to UNCC",0,928088,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307168,"North to UNCC",0,928096,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307169,"North to UNCC",0,928094,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307170,"South to I-485/S. Blvd",1,928087,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307171,"North to UNCC",0,928085,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307172,"North to UNCC",0,928087,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307173,"North to UNCC",0,928088,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307174,"North to UNCC",0,928096,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307175,"North to UNCC",0,928094,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307176,"North to UNCC",0,928085,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307177,"North to UNCC",0,928087,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307178,"South to I-485/S. Blvd",1,928086,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307179,"North to UNCC",0,928088,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307180,"South to I-485/S. Blvd",1,928094,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307181,"North to UNCC",0,928096,5010108
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307182,"South to I-485/S. Blvd",1,928096,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307183,"South to I-485/S. Blvd",1,928088,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307184,"South to I-485/S. Blvd",1,928093,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307185,"South to I-485/S. Blvd",1,928085,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307186,"South to I-485/S. Blvd",1,928095,5010111
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307187,"South to I-485/S. Blvd",1,928088,5010111
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307188,"South to I-485/S. Blvd",1,928096,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307189,"South to I-485/S. Blvd",1,928094,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307190,"South to I-485/S. Blvd",1,928093,5010107
501,BLE-Saturday-0-RAIL-26-01-0000010-,5307191,"South to I-485/S. Blvd",1,928085,5010107
