OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
9432,480292000000.0,480292000000.0,48,29,181811,1,484.0,"San Antonio-New Braunfels-Pearsall, TX",41700.0,"San Antonio-New Braunfels, TX",2426204,979988,1019742,847.3837365,1.6404969,845.7432396,588.71351,3375,1255.0,1168.0,0.58,48,0.04109589,328,0.280821918,792,0.678082192,1723,337,522,864,0.195589089,931,387,51,8,416,69,387,51,8,277,69,26,113,0,342,454,135,0.367346939,2.131766944,5.732839391,1.581414362,0.657365583,0.086629573,0.013588953,0.706625537,0.117204716,0.657365583,0.086629573,0.013588953,0.470517485,0.117204716,0.044164096,0.191943956,0.0,3.713181306,0,0.797089041,0.694460233,0.694460233,0.757642291,0.708990272,0.659968445,0.724428636,0.804510193,0.62090661,0.432419879,0.701582517,1.850698174,0.427116626,9.893477136,0.775107743,1.880051983,7.23831741,33.30826506,0.756730849,4.540385096,0.0,31.78269567,9.080770192,696.04,0.0,0.0,13.0,9.837501041,0.003851852,109679,103621,27584,13652,0.000680469,0.498135608,0.00074737,0.620425588,0.000270127,0.08337061,0.000231406,0.070021388,15,16,8,14,12.5,13498.55238,3429314.408
9434,482012000000.0,482012000000.0,48,201,221500,3,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,145.2871399,0.0,145.2871399,145.2871399,2599,699.0,699.0,0.578,82,0.117310443,218,0.311874106,399,0.570815451,731,169,328,234,0.23119015,520,36,62,7,415,0,36,62,7,197,0,0,218,0,210,206,104,0.403846154,4.81116223,17.88871336,3.579119256,0.247785179,0.426741142,0.048180452,2.856412483,0.0,0.247785179,0.426741142,0.048180452,1.355935564,0.0,0.0,1.500476919,0.0,8.390281486,0,0.743919886,0.487943061,0.420291276,0.76336916,0.590829433,0.603241015,0.470399622,0.520659598,0.640748669,0.333440205,0.831334932,1.405769231,0.666463949,27.61563831,4.7513253,4.723796902,18.14051611,94.00419066,4.405069853,8.810139706,13.21520956,79.29125735,22.02534926,199.83,0.0,0.0,11.67,51.40716518,0.004490189,330883,249530,151640,75270,0.000470028,0.604959128,0.000456214,0.7391182,0.000486534,0.220675123,0.000531431,0.235009445,13,11,14,19,15.0,4082.794052,587967.2151
9435,482012000000.0,482012000000.0,48,201,221600,2,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,141.8756773,0.0,141.8756773,141.8756773,993,276.0,248.0,0.609,0,0.0,41,0.165322581,207,0.834677419,468,113,172,183,0.241452991,62,19,0,23,20,0,19,0,23,0,0,0,20,0,7,43,12,0.112903226,1.945365162,6.99908553,0.437002319,0.133920066,0.0,0.162113764,0.14096849,0.0,0.133920066,0.0,0.162113764,0.0,0.0,0.0,0.14096849,0.0,2.382367481,0,0.25,0.996961224,0.680531907,0.996961224,0.526715385,0.518978663,0.463521618,0.481266262,0.219455639,0.117535545,0.233962264,7.548387097,0.001432424,19.34836427,0.0,2.08764361,17.26072066,108.2998883,0.0,27.06595008,9.021983361,81.19785025,27.06595008,718.84,0.0,0.0,10.0,45.10991681,0.010070493,298760,229244,149679,81422,0.000424396,0.54622809,0.000419125,0.679030228,0.000480242,0.217821364,0.000574867,0.254217338,11,9,15,14,13.0,3850.815095,574161.5136
9436,482012000000.0,482012000000.0,48,201,221600,3,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,405.3490175,0.0,405.3490175,405.3490175,1702,448.0,425.0,0.709,41,0.096470588,22,0.051764706,362,0.851764706,632,128,274,230,0.202531646,842,248,35,332,128,99,248,35,332,62,99,0,66,0,169,393,280,0.200712589,1.105220392,4.198850686,2.077222255,0.611818431,0.086345343,0.819047255,0.315777255,0.244233971,0.611818431,0.086345343,0.819047255,0.152954608,0.244233971,0.0,0.162822647,0.0,3.182442646,0,1.981176471,0.868155228,0.868155228,0.838583117,0.722568637,0.874289741,0.841722946,0.873724862,0.508408211,0.661949686,0.857530529,0.750593824,0.779263391,22.62692814,4.445748688,5.113515867,13.06766358,97.39833648,12.63109019,28.41995294,12.63109019,72.62876861,17.36774902,553.88,0.0,0.0,45.33,71.57091481,0.026633373,295616,224626,114918,62598,0.00041993,0.54047986,0.000410682,0.66535152,0.000368712,0.167235187,0.000441963,0.195444682,20,16,14,15,15.66666667,7274.153171,1640425.038
9437,482012000000.0,482012000000.0,48,201,221600,4,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,586.4535495,0.9812341,585.4723154,577.62445,3327,909.0,881.0,0.55,0,0.0,313,0.355278093,568,0.644721907,899,188,379,332,0.209121246,3043,71,1,2928,37,6,71,1,2928,37,6,0,0,0,900,842,1301,0.295760762,1.573686848,5.759797737,5.268128799,0.122917235,0.001731229,5.069037504,0.06405546,0.010387372,0.122917235,0.001731229,5.069037504,0.06405546,0.010387372,0.0,0.0,0.0,6.841815647,0,3.454029512,0.120094097,0.120094097,0.120094097,0.092949952,0.380884277,0.638915961,0.473235303,0.906643562,0.955416013,0.456113648,0.295432139,0.494322144,17.1262221,2.566952673,1.984361191,12.57490824,59.05003378,2.186269045,8.745076181,2.186269045,53.56359161,15.30388332,1188.23,0.0,0.0,45.33,49.55178791,0.013624887,283778,218842,89422,27266,0.000403114,0.518836239,0.000400107,0.648219073,0.000286909,0.130131963,0.000192507,0.085130431,7,2,10,13,9.166666667,7212.564031,2373346.718
9438,482012000000.0,482012000000.0,48,201,221700,1,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,283.3757626,0.2624202,283.1133424,283.1133424,1795,519.0,519.0,0.655,0,0.0,104,0.200385356,415,0.799614644,647,128,302,217,0.197836167,47,15,0,26,0,6,15,0,26,0,6,0,0,0,14,22,11,0.29787234,1.833188064,6.340216907,0.16601125,0.052982314,0.0,0.091836011,0.0,0.021192926,0.052982314,0.0,0.091836011,0.0,0.021192926,0.0,0.0,0.0,1.999199314,0,0.090558767,0.869087068,0.593244216,0.869087068,0.459156804,0.263590469,0.233709001,0.232569822,0.000363289,0.051031488,0.135446686,13.76595745,2.85637e-06,11.95030142,0.0,0.748310491,11.20199093,42.97134108,0.0,2.26057873,0.0,58.77504698,2.26057873,-99999.0,0.0,0.0,6.0,13.56347238,0.003342618,272057,208232,-99999,-99999,0.000386464,0.497406532,0.000380709,0.616791813,-99999.0,-99999.0,-99999.0,-99999.0,4,7,9,1,5.166666667,5305.706918,1146807.151
9439,482012000000.0,482012000000.0,48,201,221700,2,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,418.7055138,0.8094996,417.8960142,322.16284,1644,560.0,460.0,0.481,54,0.117391304,258,0.560869565,148,0.32173913,689,153,310,226,0.222060958,201,47,1,123,19,11,47,1,123,11,11,0,8,0,40,89,72,0.199004975,1.738251376,5.103009397,0.623908083,0.145888955,0.00310402,0.381794499,0.058976386,0.034144223,0.145888955,0.00310402,0.381794499,0.034144223,0.034144223,0.0,0.024832163,0.0,2.362159459,0,0.436956522,0.65159019,0.65159019,0.621195024,0.53525528,0.520816257,0.573982657,0.567281265,0.314182103,0.217886179,0.451685393,3.427860697,0.088225372,15.65964054,0.567760589,1.266570255,13.8253097,62.30679192,3.06296293,3.06296293,3.06296293,76.57407324,6.12592586,406.36,0.0,0.0,8.33,12.7572406,0.00506691,303329,232493,102099,56386,0.000430887,0.554581672,0.000425065,0.6886539,0.000327582,0.148580252,0.000398104,0.176049456,11,9,11,16,12.33333333,6399.596879,1694478.205
9440,482015000000.0,482015000000.0,48,201,453200,2,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,45.8909178,0.0,45.8909178,45.8909178,2309,694.0,633.0,0.543,19,0.030015798,232,0.366508689,382,0.603475513,798,227,382,189,0.284461153,140,13,62,7,2,56,13,62,7,2,56,0,0,0,50,69,21,0.357142857,15.12281805,50.31496668,3.050712575,0.283280453,1.351029855,0.152535629,0.043581608,1.22028503,0.283280453,1.351029855,0.152535629,0.043581608,1.22028503,0.0,0.0,0.0,18.17353062,0,0.221169036,0.719753969,0.719753969,0.719753969,0.557072321,0.381120891,0.451995692,0.497268814,0.257805968,0.114332381,0.298507463,5.7,0.009095277,30.91336244,0.0,9.782108251,21.13125419,255.7856884,0.0,27.89222926,27.89222926,292.8684072,13.94611463,281.64,0.0,0.0,8.0,111.568917,0.003464703,375810,290836,97836,105036,0.000533848,0.687099941,0.000531733,0.861468284,0.000313905,0.142376492,0.000741589,0.327945424,7,10,20,18,15.5,2090.545216,185717.741
9441,482014000000.0,482014000000.0,48,201,432002,3,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,57.2804981,0.0,57.2804981,57.2804981,1709,1095.0,918.0,0.801,35,0.038126362,606,0.660130719,277,0.301742919,850,197,316,337,0.231764706,180,54,0,17,7,102,54,0,17,7,102,0,0,0,90,66,24,0.5,19.11645388,29.83563441,3.142430774,0.942729232,0.0,0.296785129,0.122205641,1.780710772,0.942729232,0.0,0.296785129,0.122205641,1.780710772,0.0,0.0,0.0,22.25888465,0,0.196078431,0.744566374,0.641334566,0.744566374,0.496377583,0.382337221,0.507485211,0.55667967,0.480195373,0.190577025,0.349514563,4.722222222,0.024180174,19.57417015,0.0,0.0,19.57417015,201.2049543,0.0,0.0,0.0,268.1540927,22.3461744,662.51,0.0,0.0,16.33,182.4565139,0.009555295,441940,294559,296503,106796,0.000627787,0.808006567,0.00053854,0.872495964,0.000951323,0.431487971,0.000754015,0.33344053,7,8,19,14,13.5,2349.03349,231812.3096
9442,482014000000.0,482014000000.0,48,201,421401,2,288.0,"Houston-The Woodlands, TX",26420.0,"Houston-The Woodlands-Sugar Land, TX",6779104,2975382,2886903,44.0895588,0.0,44.0895588,44.0895588,2398,858.0,775.0,0.556,166,0.214193548,441,0.569032258,168,0.216774194,726,200,366,160,0.275482094,357,18,46,27,197,69,18,46,27,66,69,0,131,0,160,147,50,0.448179272,19.46038979,54.38929455,8.097155193,0.408259926,1.043330921,0.612389889,4.468178076,1.564996382,0.408259926,1.043330921,0.612389889,1.496953061,1.564996382,0.0,2.971225015,0.0,27.55754499,0,0.460645161,0.780193742,0.780193742,0.897195618,0.773072343,0.568901085,0.644643519,0.707192176,0.888982704,0.259165154,0.659279778,2.033613445,0.355719263,39.6582089,5.361291717,4.49657341,29.80034377,261.4024797,0.0,29.03181694,0.0,319.3499863,29.03181694,195.8,0.0,0.0,4.67,67.78929255,0.001947456,464651,315866,279466,119240,0.000660049,0.849529483,0.000577495,0.935608181,0.000896661,0.406694763,0.000841874,0.372293426,12,18,20,19,18.0,2223.336434,178428.2212
